event,time,ip,user,code,time
1119,19:41:39,20216812083,5,530,
1120,19:41:40,20216812083,5,331,
1121,19:41:40,20216812083,5,530,
1122,19:41:42,20216812083,5,331,
1123,19:41:42,20216812083,5,530,
1124,19:41:44,20216812083,5,331,
1125,19:41:44,20216812083,5,530,
1126,19:41:46,20216812083,5,331,
1127,19:41:46,20216812083,5,530,
1128,19:41:47,20216812083,5,331,
1129,19:41:47,20216812083,5,530,
1130,19:41:49,20216812083,5,331,
1131,19:41:49,20216812083,5,530,
1132,19:41:51,20216812083,5,331,
1133,19:41:51,20216812083,5,530,
1134,19:41:52,20216812083,5,331,
1135,19:41:52,20216812083,5,530,
1136,19:41:54,20216812083,5,331,
1137,19:41:54,20216812083,5,530,
1138,19:41:56,20216812083,5,331,
1139,19:41:56,20216812083,5,530,
1140,19:41:57,20216812083,5,331,
1141,19:41:57,20216812083,5,530,
1142,19:41:59,20216812083,5,331,
1143,19:41:59,20216812083,5,530,
1144,19:42:01,20216812083,5,331,
1145,19:42:01,20216812083,5,530,
1146,19:42:02,20216812083,5,331,
1147,19:42:02,20216812083,5,530,
1148,19:42:04,20216812083,5,331,
1149,19:42:04,20216812083,5,530,
1150,19:42:06,20216812083,5,331,
1151,19:42:06,20216812083,5,530,
1152,19:42:07,20216812083,5,331,
1153,19:42:07,20216812083,5,530,
1154,19:42:09,20216812083,5,331,
1155,19:42:09,20216812083,5,530,
1156,19:42:11,20216812083,5,331,
1157,19:42:11,20216812083,5,530,
1158,19:42:12,20216812083,5,331,
1159,19:42:12,20216812083,5,530,
1160,19:42:14,20216812083,5,331,
1161,19:42:14,20216812083,5,530,
1162,19:42:16,20216812083,5,331,
1163,19:42:16,20216812083,5,530,
1164,19:42:17,20216812083,5,331,
1165,19:42:17,20216812083,5,530,
1166,19:42:19,20216812083,5,331,
1167,19:42:19,20216812083,5,530,
1168,19:42:21,20216812083,5,331,
1169,19:42:21,20216812083,5,530,
1170,19:42:22,20216812083,5,331,
1171,19:42:22,20216812083,5,530,
1172,19:42:24,20216812083,5,331,
1173,19:42:24,20216812083,5,530,
1174,19:42:26,20216812083,5,331,
1175,19:42:26,20216812083,5,530,
1176,19:42:27,20216812083,5,331,
1177,19:42:27,20216812083,5,530,
1178,19:42:29,20216812083,5,331,
1179,19:42:29,20216812083,5,530,
1180,19:42:31,20216812083,5,331,
1181,19:42:31,20216812083,5,530,
1182,19:42:32,20216812083,5,331,
1183,19:42:32,20216812083,5,530,
1184,19:42:34,20216812083,5,331,
1185,19:42:34,20216812083,5,530,
1186,19:42:36,20216812083,5,331,
1187,19:42:36,20216812083,5,530,
1188,19:42:37,20216812083,5,331,
1189,19:42:37,20216812083,5,530,
1190,19:42:39,20216812083,5,331,
1191,19:42:39,20216812083,5,530,
1192,19:42:41,20216812083,5,331,
1193,19:42:41,20216812083,5,530,
1194,19:42:42,20216812083,5,331,
1195,19:42:42,20216812083,5,530,
